3 -9 -9 -0.000456962
-1 -0 9 -0.000871573
-1 9 -0 -0.00104323
-3 9 9 -0.00183097
2 -9 0 -0.000871573
2 0 -9 -0.00104323
4 -9 -9 -0.000871573
-2 -0 9 -0.00118106
-1 9 -0 -0.00183097
-4 9 9 -0.00239787
2 -9 0 -0.00118106
3 0 -9 -0.00183097
5 -9 -9 -0.00118106
-3 -0 9 -0.0013481
-1 9 -0 -0.00239787
-5 9 9 -0.00267558
2 -9 0 -0.0013481
4 0 -9 -0.00239787
6 -9 -9 -0.0013481
-4 -0 9 -0.00135255
-1 9 -0 -0.00267558
-6 9 9 -0.0026307
2 -9 0 -0.00135255
5 0 -9 -0.00267558
7 -9 -9 -0.00135255
-5 -0 9 -0.00119398
-1 9 -0 -0.0026307
-7 9 9 -0.00226945
2 -9 0 -0.00119398
6 0 -9 -0.0026307
8 -9 -9 -0.00119398
-6 -0 9 -0.000892183
-1 9 -0 -0.00226945
-8 9 9 -0.00164072
2 -9 0 -0.000892183
7 0 -9 -0.00226945
9 -9 -9 -0.000892183
-7 -0 9 -0.000488037
-1 9 -0 -0.00164072
-9 9 9 -0.000856205
2 -9 0 -0.000488037
8 0 -9 -0.00164072
4 -9 -9 -0.00104323
-1 -0 9 -0.00183097
-2 9 -0 -0.00137327
-4 9 9 -0.00239787
3 -9 0 -0.00183097
2 0 -9 -0.00137327
5 -9 -9 -0.00183097
-2 -0 9 -0.00239787
-2 9 -0 -0.00239787
-5 9 9 -0.00313326
3 -9 0 -0.00239787
3 0 -9 -0.00239787
6 -9 -9 -0.00239787
-3 -0 9 -0.00267558
-2 9 -0 -0.00313326
-6 9 9 -0.00349075
3 -9 0 -0.00267558
4 0 -9 -0.00313326
7 -9 -9 -0.00267558
-4 -0 9 -0.0026307
-2 9 -0 -0.00349075
-7 9 9 -0.00342737
3 -9 0 -0.0026307
5 0 -9 -0.00349075
8 -9 -9 -0.0026307
-5 -0 9 -0.00226945
-2 9 -0 -0.00342737
-8 9 9 -0.00295175
3 -9 0 -0.00226945
6 0 -9 -0.00342737
9 -9 -9 -0.00226945
-6 -0 9 -0.00164072
-2 9 -0 -0.00295175
-9 9 9 -0.00212802
3 -9 0 -0.00164072
7 0 -9 -0.00295175
10 -9 -9 -0.00164072
-7 -0 9 -0.000856205
-2 9 -0 -0.00212802
-10 9 9 -0.00110239
3 -9 0 -0.000856205
8 0 -9 -0.00212802
5 -9 -9 -0.00137327
-1 -0 9 -0.00239787
-3 9 -0 -0.00153769
-5 9 9 -0.00267558
4 -9 0 -0.00239787
2 0 -9 -0.00153769
6 -9 -9 -0.00239787
-2 -0 9 -0.00313326
-3 9 -0 -0.00267558
-6 9 9 -0.00349076
4 -9 0 -0.00313326
3 0 -9 -0.00267558
7 -9 -9 -0.00313326
-3 -0 9 -0.00349075
-3 9 -0 -0.00349076
-7 9 9 -0.00388492
4 -9 0 -0.00349075
4 0 -9 -0.00349076
8 -9 -9 -0.00349075
-4 -0 9 -0.00342737
-3 9 -0 -0.00388492
-8 9 9 -0.00381068
4 -9 0 -0.00342737
5 0 -9 -0.00388492
9 -9 -9 -0.00342737
-5 -0 9 -0.00295175
-3 9 -0 -0.00381068
-9 9 9 -0.00327804
4 -9 0 -0.00295175
6 0 -9 -0.00381068
10 -9 -9 -0.00295175
-6 -0 9 -0.00212802
-3 9 -0 -0.00327804
-10 9 9 -0.00235866
4 -9 0 -0.00212802
7 0 -9 -0.00327804
