0.000000 0.944444 0.055556 0.944444 0.055556 0.888889
0.000000 0.944444 0.000000 1.000000 0.055556 0.944444
0.055556 0.888889 0.111111 0.888889 0.111111 0.833333
0.055556 0.888889 0.055556 0.944444 0.111111 0.888889
0.111111 0.833333 0.166667 0.833333 0.166667 0.777778
0.111111 0.833333 0.111111 0.888889 0.166667 0.833333
0.166667 0.777778 0.222222 0.777778 0.222222 0.722222
0.166667 0.777778 0.166667 0.833333 0.222222 0.777778
0.222222 0.722222 0.277778 0.722222 0.277778 0.666667
0.222222 0.722222 0.222222 0.777778 0.277778 0.722222
0.277778 0.666667 0.333333 0.666667 0.333333 0.611111
0.277778 0.666667 0.277778 0.722222 0.333333 0.666667
0.333333 0.611111 0.388889 0.611111 0.388889 0.555556
0.333333 0.611111 0.333333 0.666667 0.388889 0.611111
0.388889 0.555556 0.444444 0.555556 0.444444 0.500000
0.388889 0.555556 0.388889 0.611111 0.444444 0.555556
0.444444 0.500000 0.444444 0.555556 0.500000 0.500000
